what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1510958225109
arch,sysinfo,,,"x86_64",1510958225109
ws,sysinfo,,,"gtk",1510958225109
locale,sysinfo,,,"en_US",1510958225109
processors,sysinfo,,,"4",1510958225109
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1510958225109
java.runtime.version,sysinfo,,,"1.8.0_151-8u151-b12-0ubuntu0.17.04.2-b12",1510958225109
java.specification.name,sysinfo,,,"Java Platform API Specification",1510958225109
java.specification.vendor,sysinfo,,,"Oracle Corporation",1510958225109
java.specification.version,sysinfo,,,"1.8",1510958225109
java.vendor,sysinfo,,,"Oracle Corporation",1510958225109
java.version,sysinfo,,,"1.8.0_151",1510958225109
java.vm.info,sysinfo,,,"mixed mode",1510958225109
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1510958225109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510958225109
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1510958225109
java.vm.specification.version,sysinfo,,,"1.8",1510958225109
java.vm.vendor,sysinfo,,,"Oracle Corporation",1510958225109
java.vm.version,sysinfo,,,"25.151-b12",1510958225109
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510958225992
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1510958226252
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1510958226813
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1510958226821
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1510958227195
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1510958227217
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1510958227508
